"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Paid Hours","2013Q4","Construction (F)","All employees","Hours","36"
"Average Weekly Paid Hours","2013Q4","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2013Q4","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2013Q4","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2014Q1","Construction (F)","All employees","Hours","36.3"
"Average Weekly Paid Hours","2014Q1","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2014Q1","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2014Q1","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2014Q2","Construction (F)","All employees","Hours","37.4"
"Average Weekly Paid Hours","2014Q2","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2014Q2","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2014Q2","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2014Q3","Construction (F)","All employees","Hours","37.2"
"Average Weekly Paid Hours","2014Q3","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2014Q3","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2014Q3","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2014Q4","Construction (F)","All employees","Hours","37.8"
"Average Weekly Paid Hours","2014Q4","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2014Q4","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2014Q4","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2015Q1","Construction (F)","All employees","Hours","36.2"
"Average Weekly Paid Hours","2015Q1","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2015Q1","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2015Q1","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2015Q2","Construction (F)","All employees","Hours","36.4"
"Average Weekly Paid Hours","2015Q2","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2015Q2","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2015Q2","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2015Q3","Construction (F)","All employees","Hours","36.3"
"Average Weekly Paid Hours","2015Q3","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2015Q3","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2015Q3","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2015Q4","Construction (F)","All employees","Hours","36.9"
"Average Weekly Paid Hours","2015Q4","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2015Q4","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2015Q4","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2016Q1","Construction (F)","All employees","Hours","36"
"Average Weekly Paid Hours","2016Q1","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2016Q1","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2016Q1","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2016Q2","Construction (F)","All employees","Hours","37.4"
"Average Weekly Paid Hours","2016Q2","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2016Q2","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2016Q2","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2016Q3","Construction (F)","All employees","Hours","38"
"Average Weekly Paid Hours","2016Q3","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2016Q3","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2016Q3","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2016Q4","Construction (F)","All employees","Hours","36.8"
"Average Weekly Paid Hours","2016Q4","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2016Q4","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2016Q4","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2017Q1","Construction (F)","All employees","Hours","36.8"
"Average Weekly Paid Hours","2017Q1","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2017Q1","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2017Q1","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2017Q2","Construction (F)","All employees","Hours","36.3"
"Average Weekly Paid Hours","2017Q2","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2017Q2","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2017Q2","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2017Q3","Construction (F)","All employees","Hours","37.2"
"Average Weekly Paid Hours","2017Q3","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2017Q3","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2017Q3","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2017Q4","Construction (F)","All employees","Hours","36.3"
"Average Weekly Paid Hours","2017Q4","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2017Q4","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2017Q4","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2018Q1","Construction (F)","All employees","Hours","36.5"
"Average Weekly Paid Hours","2018Q1","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2018Q1","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2018Q1","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2018Q2","Construction (F)","All employees","Hours","37.2"
"Average Weekly Paid Hours","2018Q2","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2018Q2","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2018Q2","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2018Q3","Construction (F)","All employees","Hours","38"
"Average Weekly Paid Hours","2018Q3","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2018Q3","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2018Q3","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2018Q4","Construction (F)","All employees","Hours","37.1"
"Average Weekly Paid Hours","2018Q4","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2018Q4","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2018Q4","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2019Q1","Construction (F)","All employees","Hours","36.3"
"Average Weekly Paid Hours","2019Q1","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2019Q1","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2019Q1","Construction (F)","Production, transport, craft and other manual workers","Hours",""
"Average Weekly Paid Hours","2019Q2","Construction (F)","All employees","Hours","36.9"
"Average Weekly Paid Hours","2019Q2","Construction (F)","Managers, professionals and associated professionals","Hours",""
"Average Weekly Paid Hours","2019Q2","Construction (F)","Clerical, sales and service employees","Hours",""
"Average Weekly Paid Hours","2019Q2","Construction (F)","Production, transport, craft and other manual workers","Hours",""
